reporterISO,partnerISO,Exporter,Importer,Category,trade_value,source_lat,source_lng,target_lat,target_lng
AGO,ARE,Angola,United Arab Emirates,Biomass,880,-12.29155344,17.50291192,23.86863365,54.20671476
AGO,ARE,Angola,United Arab Emirates,Hydroelectric,1129674.23,-12.29155344,17.50291192,23.86863365,54.20671476
AGO,ARE,Angola,United Arab Emirates,Solar Products,14915.52,-12.29155344,17.50291192,23.86863365,54.20671476
AGO,ARE,Angola,United Arab Emirates,Wind Products,24611.4,-12.29155344,17.50291192,23.86863365,54.20671476
AGO,AZE,Angola,Azerbaijan,Hydroelectric,3500,-12.29155344,17.50291192,40.2805336,47.68058265
AGO,AZE,Angola,Azerbaijan,Solar Products,30,-12.29155344,17.50291192,40.2805336,47.68058265
AGO,AZE,Angola,Azerbaijan,Wind Products,2640,-12.29155344,17.50291192,40.2805336,47.68058265
AGO,BEL,Angola,Belgium,Battery storage,434.96,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BEL,Angola,Belgium,Biomass,242.65,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BEL,Angola,Belgium,EV,71888,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BEL,Angola,Belgium,Hydroelectric,1352420,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BEL,Angola,Belgium,Solar Products,974.47,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BEL,Angola,Belgium,Wind Products,54048.66,-12.29155344,17.50291192,50.65244096,4.580834114
AGO,BHR,Angola,Bahrain,Hydroelectric,831,-12.29155344,17.50291192,26.0667,50.5577
AGO,BRA,Angola,Brazil,Hydroelectric,9356.29,-12.29155344,17.50291192,-10.80677364,-53.05434004
AGO,BRA,Angola,Brazil,Solar Products,25104.45,-12.29155344,17.50291192,-10.80677364,-53.05434004
AGO,BRA,Angola,Brazil,Wind Products,188,-12.29155344,17.50291192,-10.80677364,-53.05434004
AGO,CAN,Angola,Canada,Solar Products,50,-12.29155344,17.50291192,57.7487688,-101.5698221
AGO,CAN,Angola,Canada,Wind Products,950,-12.29155344,17.50291192,57.7487688,-101.5698221
AGO,CHE,Angola,Switzerland,Solar Products,100,-12.29155344,17.50291192,46.79173768,8.118300613
AGO,CHN,Angola,China,Solar Products,706,-12.29155344,17.50291192,36.60943038,103.8653613
AGO,CIV,Angola,Côte d'Ivoire,Battery storage,19.63,-12.29155344,17.50291192,7.553755007,-5.612043645
AGO,CIV,Angola,Côte d'Ivoire,Biomass,331.23,-12.29155344,17.50291192,7.553755007,-5.612043645
AGO,CIV,Angola,Côte d'Ivoire,Hydroelectric,38413.33,-12.29155344,17.50291192,7.553755007,-5.612043645
AGO,CIV,Angola,Côte d'Ivoire,Solar Products,56.53,-12.29155344,17.50291192,7.553755007,-5.612043645
AGO,CIV,Angola,Côte d'Ivoire,Wind Products,6978.41,-12.29155344,17.50291192,7.553755007,-5.612043645
AGO,CMR,Angola,Cameroon,Solar Products,40,-12.29155344,17.50291192,5.663095288,12.61155155
AGO,COD,Angola,Dem. Rep. of the Congo,Battery storage,330219.75,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COD,Angola,Dem. Rep. of the Congo,Biomass,99.5,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COD,Angola,Dem. Rep. of the Congo,EV,18192.58,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COD,Angola,Dem. Rep. of the Congo,Hydroelectric,11105.01,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COD,Angola,Dem. Rep. of the Congo,Solar Products,95.25,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COD,Angola,Dem. Rep. of the Congo,Wind Products,93139.43,-12.29155344,17.50291192,-2.850275711,23.58295583
AGO,COG,Angola,Congo,Biomass,428251.96,-12.29155344,17.50291192,-0.837801087,15.13446177
AGO,COG,Angola,Congo,Hydroelectric,151972.28,-12.29155344,17.50291192,-0.837801087,15.13446177
AGO,COG,Angola,Congo,Solar Products,1683,-12.29155344,17.50291192,-0.837801087,15.13446177
AGO,COG,Angola,Congo,Wind Products,18670.98,-12.29155344,17.50291192,-0.837801087,15.13446177
AGO,CUB,Angola,Cuba,Battery storage,297.09,-12.29155344,17.50291192,21.63175154,-78.96068491
AGO,CUB,Angola,Cuba,Biomass,30,-12.29155344,17.50291192,21.63175154,-78.96068491
AGO,CUB,Angola,Cuba,Hydroelectric,792.31,-12.29155344,17.50291192,21.63175154,-78.96068491
AGO,CUB,Angola,Cuba,Solar Products,866.02,-12.29155344,17.50291192,21.63175154,-78.96068491
AGO,CUB,Angola,Cuba,Wind Products,407.64,-12.29155344,17.50291192,21.63175154,-78.96068491
AGO,CZE,Angola,Czechia,Solar Products,10.22,-12.29155344,17.50291192,49.77524529,15.3345581
AGO,CZE,Angola,Czechia,Wind Products,293525.72,-12.29155344,17.50291192,49.77524529,15.3345581
AGO,DEU,Angola,Germany,Battery storage,250,-12.29155344,17.50291192,51.13372269,10.28848509
AGO,DEU,Angola,Germany,Biomass,820.93,-12.29155344,17.50291192,51.13372269,10.28848509
AGO,DEU,Angola,Germany,Hydroelectric,424.92,-12.29155344,17.50291192,51.13372269,10.28848509
AGO,DEU,Angola,Germany,Solar Products,20580.35,-12.29155344,17.50291192,51.13372269,10.28848509
AGO,DEU,Angola,Germany,Wind Products,5624.29,-12.29155344,17.50291192,51.13372269,10.28848509
AGO,DNK,Angola,Denmark,Battery storage,4527.32,-12.29155344,17.50291192,56.21962624,9.310777784
AGO,DNK,Angola,Denmark,Solar Products,451.12,-12.29155344,17.50291192,56.21962624,9.310777784
AGO,DNK,Angola,Denmark,Wind Products,1036.66,-12.29155344,17.50291192,56.21962624,9.310777784
AGO,ECU,Angola,Ecuador,Solar Products,20,-12.29155344,17.50291192,-1.454771706,-78.38416675
AGO,EGY,Angola,Egypt,Biomass,2328,-12.29155344,17.50291192,26.50662,29.84446151
AGO,EGY,Angola,Egypt,Hydroelectric,1709734.47,-12.29155344,17.50291192,26.50662,29.84446151
AGO,EGY,Angola,Egypt,Solar Products,2333,-12.29155344,17.50291192,26.50662,29.84446151
AGO,EGY,Angola,Egypt,Wind Products,2847600,-12.29155344,17.50291192,26.50662,29.84446151
AGO,ESP,Angola,Spain,Biomass,4202,-12.29155344,17.50291192,40.34865611,-3.617020602
