ICMMID,Confidence.Factor,Mine_Name,Group_Names,Latitude,Longitude,Asset_Type,Country_Region,Primary_Commodity,Secondary_Commodity,Other_Commodities,Production,Processing,Net_GDP_Decrease,Risk_category
ICMM00056,Very Low,Purgatorio,NA,7.189,-60.691,Mine,Venezuela,copper,gold,NA,TRUE,NA,56,Elevated
ICMM00147,Very Low,Northwest San Rafael Mines,NA,6.368,-75.05,Mine,Colombia,silver,NA,NA,TRUE,NA,36,Elevated
ICMM00291,Very Low,Agua Branca,NA,-0.465,-59.933,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00295,Very Low,Cariri,NA,-0.998,-62.899,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00334,Moderate,Campanilla,Campanilla;Nambija District;Campanilla,-4.048,-78.791,Mine,Ecuador,copper,gold,NA,TRUE,NA,56,Elevated
ICMM00335,Very Low,Itaiutuba Mine,NA,-4.034,-53.123,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00341,Very Low,Bonfim,NA,-5.581,-36.666,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00343,Very Low,Saco Sao Vicente,NA,-5.681,-36.799,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00345,Very Low,Cafuca,NA,-5.744,-36.354,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00346,Very Low,Abrigo,NA,-5.765,-36.766,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00349,Very Low,Fazenda Bonfim Tungsten I,NA,-5.831,-36.116,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00351,Very Low,Boqueirao,NA,-5.848,-36.082,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00352,Very Low,Sao Raimundo,NA,-5.848,-52.483,Mine,Brazil,tin,NA,NA,TRUE,NA,33,Elevated
ICMM00353,Very Low,"Pindoba, Mazagao",NA,-5.865,-36.916,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00355,Very Low,"Chupador, Trapia, Cacador",NA,-5.881,-36.282,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00358,Very Low,Louros Mine Tungsten,NA,-5.965,-36.066,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00359,Moderate,"Queimada, Riachao","Queimada, Riachao;Bodo",-5.987,-36.415,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
ICMM00361,Very Low,"Saco Dos Cavalos, Agua Fria",NA,-6.015,-37.099,Mine,Brazil,tungsten,NA,NA,TRUE,NA,544,High
