Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Cobalt,_X ,FRA,"Areas, nes",France,282200|810530,Processed,28414.652000000002,mirror,,,46.227638,2.213749
Cobalt,ARG,NLD,Argentina,Netherlands,282200,Processed,1594.346,mirror,-38.416097,-63.616672,52.132633,5.291266
Cobalt,AUS,CAN,Australia,Canada,282200,Processed,794752.11,direct,-25.274398,133.775136,56.130366,-106.346771
Cobalt,AUS,DEU,Australia,Germany,810530,Processed,68170.028,direct,-25.274398,133.775136,51.165691,10.451526
Cobalt,AUS,USA,Australia,USA,810530,Processed,51682.0,mirror,-25.274398,133.775136,37.09024,-95.712891
Cobalt,AUS,ARE,Australia,United Arab Emirates,282200,Processed,24523.578,direct,-25.274398,133.775136,23.424076,53.847818
Cobalt,AUS,NLD,Australia,Netherlands,810530,Processed,3319.661,mirror,-25.274398,133.775136,52.132633,5.291266
Cobalt,AUS,IRL,Australia,Ireland,282200,Processed,1206.854,mirror,-25.274398,133.775136,53.41291,-8.24389
Cobalt,AUS,NZL,Australia,New Zealand,282200,Processed,584.031,mirror,-25.274398,133.775136,-40.900557,174.885971
Cobalt,AUS,TUR,Australia,Türkiye,282200,Processed,264.0,mirror,-25.274398,133.775136,38.963745,35.243322
Cobalt,AUS,CHN,Australia,China,282200,Processed,13.0,mirror,-25.274398,133.775136,35.86166,104.195397
Cobalt,AUT,SWE,Austria,Sweden,810530,Processed,3694297.812,mirror,47.516231,14.550072,60.128161,18.643501
Cobalt,AUT,FIN,Austria,Finland,810530,Processed,3483070.014,direct,47.516231,14.550072,61.92411,25.748151
Cobalt,AUT,DEU,Austria,Germany,810530,Processed,158958.394,direct,47.516231,14.550072,51.165691,10.451526
Cobalt,AUT,RUS,Austria,Russian Federation,282200,Processed,76593.571,direct,47.516231,14.550072,61.52401,105.318756
Cobalt,AUT,HUN,Austria,Hungary,282200,Processed,2148.344,mirror,47.516231,14.550072,47.162494,19.503304
Cobalt,AUT,CZE,Austria,Czechia,282200,Processed,1975.344,direct,47.516231,14.550072,49.817492,15.472962
Cobalt,AUT,HRV,Austria,Croatia,282200,Processed,33.554,direct,47.516231,14.550072,45.1,15.2
Cobalt,BEL,USA,Belgium,USA,282200|810530,Processed,13009688.553000001,direct,50.503887,4.469936,37.09024,-95.712891
Cobalt,BEL,ESP,Belgium,Spain,282200,Processed,8687324.799,direct,50.503887,4.469936,40.463667,-3.74922
Cobalt,BEL,ITA,Belgium,Italy,282200,Processed,7233686.217,direct,50.503887,4.469936,41.87194,12.56738
Cobalt,BEL,IND,Belgium,India,282200|810530,Processed,7119839.038000001,direct,50.503887,4.469936,20.593684,78.96288
Cobalt,BEL,KOR,Belgium,Rep. of Korea,282200,Processed,6895500.393,direct,50.503887,4.469936,35.907757,127.766922
Cobalt,BEL,MEX,Belgium,Mexico,282200,Processed,5894533.582,direct,50.503887,4.469936,23.634501,-102.552784
Cobalt,BEL,JPN,Belgium,Japan,282200,Processed,5661442.258,direct,50.503887,4.469936,36.204824,138.252924
Cobalt,BEL,BRA,Belgium,Brazil,282200|810530,Processed,4610868.609,direct,50.503887,4.469936,-14.235004,-51.92528
Cobalt,BEL,TUR,Belgium,Türkiye,282200,Processed,4088328.562,direct,50.503887,4.469936,38.963745,35.243322
Cobalt,BEL,DEU,Belgium,Germany,282200|810530,Processed,3144535.446,direct,50.503887,4.469936,51.165691,10.451526
Cobalt,BEL,FRA,Belgium,France,282200|810530,Processed,1754376.856,direct,50.503887,4.469936,46.227638,2.213749
Cobalt,BEL,GBR,Belgium,United Kingdom,282200|810530,Processed,1399813.154,direct,50.503887,4.469936,55.378051,-3.435973
Cobalt,BEL,CAN,Belgium,Canada,282200,Processed,1140935.204,mirror,50.503887,4.469936,56.130366,-106.346771
Cobalt,BEL,ARE,Belgium,United Arab Emirates,282200,Processed,1017962.284,direct,50.503887,4.469936,23.424076,53.847818
Cobalt,BEL,IDN,Belgium,Indonesia,282200,Processed,905487.822,direct,50.503887,4.469936,-0.789275,113.921327
Cobalt,BEL,CHN,Belgium,China,282200,Processed,828291.517,direct,50.503887,4.469936,35.86166,104.195397
Cobalt,BEL,MYS,Belgium,Malaysia,282200,Processed,783196.43,direct,50.503887,4.469936,4.210484,101.975766
Cobalt,BEL,S19,Belgium,"Other Asia, nes",282200,Processed,485270.299,direct,50.503887,4.469936,,
Cobalt,BEL,CZE,Belgium,Czechia,282200,Processed,418133.021,direct,50.503887,4.469936,49.817492,15.472962
Cobalt,BEL,NGA,Belgium,Nigeria,282200,Processed,408686.437,direct,50.503887,4.469936,9.081999,8.675277
Cobalt,BEL,BGD,Belgium,Bangladesh,282200,Processed,365744.064,direct,50.503887,4.469936,23.684994,90.356331
Cobalt,BEL,PAK,Belgium,Pakistan,282200,Processed,208527.025,direct,50.503887,4.469936,30.375321,69.345116
Cobalt,BEL,THA,Belgium,Thailand,282200,Processed,178297.286,direct,50.503887,4.469936,15.870032,100.992541
Cobalt,BEL,EGY,Belgium,Egypt,282200,Processed,169975.079,direct,50.503887,4.469936,26.820553,30.802498
