Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Graphite,_X ,FRA,"Areas, nes",France,380110|380120,Processed,4576196.346,mirror,,,46.227638,2.213749
Graphite,_X ,CZE,"Areas, nes",Czechia,380110,Processed,112256.0,mirror,,,49.817492,15.472962
Graphite,_X ,ISR,"Areas, nes",Israel,380110,Processed,29000.0,mirror,,,31.046051,34.851612
Graphite,_X ,EST,"Areas, nes",Estonia,380110|380120,Processed,3513.2,mirror,,,58.595272,25.013607
Graphite,_X ,LUX,"Areas, nes",Luxembourg,380120,Processed,762.288,mirror,,,49.815273,6.129583
Graphite,_X ,CHL,"Areas, nes",Chile,380110,Processed,637.84,mirror,,,-35.675147,-71.542969
Graphite,_X ,SVK,"Areas, nes",Slovakia,380110,Processed,467.592,mirror,,,48.669026,19.699024
Graphite,_X ,ZAF,"Areas, nes",South Africa,380110,Processed,413.78,mirror,,,-30.559482,22.937506
Graphite,_X ,DNK,"Areas, nes",Denmark,380110|380120,Processed,100.80600000000001,mirror,,,56.26392,9.501785
Graphite,_X ,MAR,"Areas, nes",Morocco,380110,Processed,6.006,mirror,,,31.791702,-7.09262
Graphite,_X ,HRV,"Areas, nes",Croatia,380110,Processed,6.0,mirror,,,45.1,15.2
Graphite,ARG,BOL,Argentina,Bolivia (Plurinational State of),380110,Processed,267804.0,mirror,-38.416097,-63.616672,-16.290154,-63.588653
Graphite,ARG,BRA,Argentina,Brazil,380120,Processed,39294.0,mirror,-38.416097,-63.616672,-14.235004,-51.92528
Graphite,ARG,USA,Argentina,USA,380110,Processed,22269.0,mirror,-38.416097,-63.616672,37.09024,-95.712891
Graphite,ARG,PRY,Argentina,Paraguay,380110,Processed,15731.38,mirror,-38.416097,-63.616672,-23.442503,-58.443832
Graphite,ARG,CHL,Argentina,Chile,380110,Processed,9095.04,mirror,-38.416097,-63.616672,-35.675147,-71.542969
Graphite,ARG,COL,Argentina,Colombia,380110|380120,Processed,8708.0,mirror,-38.416097,-63.616672,4.570868,-74.297333
Graphite,ARG,URY,Argentina,Uruguay,380110,Processed,1027.0,mirror,-38.416097,-63.616672,-32.522779,-55.765835
Graphite,ARM,RUS,Armenia,Russian Federation,380110|380120,Processed,36435.92,direct,40.069099,45.038189,61.52401,105.318756
Graphite,ARM,CUW,Armenia,Curaçao,380110,Processed,13009.86,direct,40.069099,45.038189,,
Graphite,AUS,SAU,Australia,Saudi Arabia,380120,Processed,261047.218,direct,-25.274398,133.775136,23.885942,45.079162
Graphite,AUS,NZL,Australia,New Zealand,380110|380120,Processed,71427.784,direct,-25.274398,133.775136,-40.900557,174.885971
Graphite,AUS,MYS,Australia,Malaysia,380110,Processed,64036.352,direct,-25.274398,133.775136,4.210484,101.975766
Graphite,AUS,THA,Australia,Thailand,380110,Processed,11931.174,direct,-25.274398,133.775136,15.870032,100.992541
Graphite,AUS,USA,Australia,USA,380110,Processed,9097.0,mirror,-25.274398,133.775136,37.09024,-95.712891
Graphite,AUS,IND,Australia,India,380110,Processed,5061.51,direct,-25.274398,133.775136,20.593684,78.96288
Graphite,AUS,ZAF,Australia,South Africa,380110,Processed,1154.476,mirror,-25.274398,133.775136,-30.559482,22.937506
Graphite,AUS,SWE,Australia,Sweden,380110,Processed,757.028,mirror,-25.274398,133.775136,60.128161,18.643501
Graphite,AUS,ISL,Australia,Iceland,380110,Processed,98.465,mirror,-25.274398,133.775136,64.963051,-19.020835
Graphite,AUS,PNG,Australia,Papua New Guinea,380110,Processed,89.748,direct,-25.274398,133.775136,-6.314993,143.95555
Graphite,AUS,KOR,Australia,Rep. of Korea,380110,Processed,16.0,mirror,-25.274398,133.775136,35.907757,127.766922
Graphite,AUS,IRL,Australia,Ireland,380120,Processed,8.659,mirror,-25.274398,133.775136,53.41291,-8.24389
Graphite,AUT,DEU,Austria,Germany,380110|380120,Processed,2735828.097,direct,47.516231,14.550072,51.165691,10.451526
Graphite,AUT,POL,Austria,Poland,380110,Processed,704355.837,direct,47.516231,14.550072,51.919438,19.145136
Graphite,AUT,ITA,Austria,Italy,380110,Processed,359443.397,direct,47.516231,14.550072,41.87194,12.56738
Graphite,AUT,BIH,Austria,Bosnia Herzegovina,380110|380120,Processed,172500.056,direct,47.516231,14.550072,43.915886,17.679076
Graphite,AUT,CHN,Austria,China,380110,Processed,154293.335,direct,47.516231,14.550072,35.86166,104.195397
Graphite,AUT,CZE,Austria,Czechia,380110|380120,Processed,138276.26799999998,direct,47.516231,14.550072,49.817492,15.472962
Graphite,AUT,CHE,Austria,Switzerland,380110|380120,Processed,122296.00399999999,direct,47.516231,14.550072,46.818188,8.227512
Graphite,AUT,ESP,Austria,Spain,380110|380120,Processed,97840.226,direct,47.516231,14.550072,40.463667,-3.74922
Graphite,AUT,GRC,Austria,Greece,380120,Processed,27983.864,mirror,47.516231,14.550072,39.074208,21.824312
Graphite,AUT,FRA,Austria,France,380110|380120,Processed,23156.447,direct,47.516231,14.550072,46.227638,2.213749
Graphite,AUT,USA,Austria,USA,380110|380120,Processed,16400.228,direct,47.516231,14.550072,37.09024,-95.712891
Graphite,AUT,CUB,Austria,Cuba,380110,Processed,8286.705,direct,47.516231,14.550072,21.521757,-77.781167
Graphite,AUT,JPN,Austria,Japan,380110,Processed,5154.296,direct,47.516231,14.550072,36.204824,138.252924
Graphite,AUT,KOR,Austria,Rep. of Korea,380110,Processed,5011.422,direct,47.516231,14.550072,35.907757,127.766922
Graphite,AUT,COL,Austria,Colombia,380110,Processed,3341.07,mirror,47.516231,14.550072,4.570868,-74.297333
Graphite,AUT,ISL,Austria,Iceland,380110,Processed,2953.963,mirror,47.516231,14.550072,64.963051,-19.020835
Graphite,AUT,SVN,Austria,Slovenia,380110,Processed,2714.61,direct,47.516231,14.550072,46.151241,14.995463
Graphite,AUT,SVK,Austria,Slovakia,380110,Processed,2155.019,direct,47.516231,14.550072,48.669026,19.699024
Graphite,AUT,IND,Austria,India,380110,Processed,1959.109,direct,47.516231,14.550072,20.593684,78.96288
Graphite,AUT,DNK,Austria,Denmark,380110,Processed,848.94,mirror,47.516231,14.550072,56.26392,9.501785
Graphite,AUT,KAZ,Austria,Kazakhstan,380110,Processed,676.488,direct,47.516231,14.550072,48.019573,66.923684
