Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Manganese,_X ,CHN,"Areas, nes",China,282090,Processed,215884.0,mirror,,,35.86166,104.195397
Manganese,_X ,FRA,"Areas, nes",France,282090,Processed,83693.988,mirror,,,46.227638,2.213749
Manganese,_X ,CHL,"Areas, nes",Chile,282090,Processed,85.12,mirror,,,-35.675147,-71.542969
Manganese,_X ,DNK,"Areas, nes",Denmark,282010,Processed,38.582,mirror,,,56.26392,9.501785
Manganese,AUS,IND,Australia,India,282010|282090,Processed,630656.238,direct,-25.274398,133.775136,20.593684,78.96288
Manganese,AUS,MYS,Australia,Malaysia,282090,Processed,143344.342,direct,-25.274398,133.775136,4.210484,101.975766
Manganese,AUS,COL,Australia,Colombia,282090,Processed,101864.91,mirror,-25.274398,133.775136,4.570868,-74.297333
Manganese,AUS,PHL,Australia,Philippines,282090,Processed,6625.0,mirror,-25.274398,133.775136,12.879721,121.774017
Manganese,AUS,NZL,Australia,New Zealand,282090,Processed,1253.398,mirror,-25.274398,133.775136,-40.900557,174.885971
Manganese,AUS,ZAF,Australia,South Africa,282090,Processed,3.96,direct,-25.274398,133.775136,-30.559482,22.937506
Manganese,AUT,FRA,Austria,France,282090,Processed,67021.0,mirror,47.516231,14.550072,46.227638,2.213749
Manganese,AUT,USA,Austria,USA,282090,Processed,4515.691,direct,47.516231,14.550072,37.09024,-95.712891
Manganese,AUT,SGP,Austria,Singapore,282090,Processed,2439.694,mirror,47.516231,14.550072,1.352083,103.819836
Manganese,AUT,DEU,Austria,Germany,282090,Processed,846.422,direct,47.516231,14.550072,51.165691,10.451526
Manganese,AUT,GRC,Austria,Greece,282010,Processed,69.272,direct,47.516231,14.550072,39.074208,21.824312
Manganese,AUT,LTU,Austria,Lithuania,282010,Processed,55.0,mirror,47.516231,14.550072,55.169438,23.881275
Manganese,AUT,MDA,Austria,Rep. of Moldova,282010,Processed,34.636,direct,47.516231,14.550072,47.411631,28.369885
