Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Nickel,AFG,SAU,Afghanistan,Saudi Arabia,750610,Processed,25088.533,mirror,33.93911,67.709953,23.885942,45.079162
Nickel,AFG,DNK,Afghanistan,Denmark,750711,Processed,21016.664,mirror,33.93911,67.709953,56.26392,9.501785
Nickel,DZA,FRA,Algeria,France,750620,Processed,64548.84,mirror,28.033886,1.659626,46.227638,2.213749
Nickel,AGO,IND,Angola,India,750300,Processed,1154995.353,mirror,-11.202692,17.873887,20.593684,78.96288
Nickel,AGO,ITA,Angola,Italy,750620,Processed,350,direct,-11.202692,17.873887,41.87194,12.56738
Nickel,AGO,CHN,Angola,China,750712,Processed,162.66,direct,-11.202692,17.873887,35.86166,104.195397
Nickel,ARG,ESP,Argentina,Spain,750300,Processed,879425.488,mirror,-38.416097,-63.616672,40.463667,-3.74922
Nickel,ARG,PRY,Argentina,Paraguay,282735|283324|750522|750610|750620,Processed,106375.6,mirror,-38.416097,-63.616672,-23.442503,-58.443832
Nickel,ARG,ZAF,Argentina,South Africa,283324,Processed,23888.276,mirror,-38.416097,-63.616672,-30.559482,22.937506
Nickel,ARG,GBR,Argentina,United Kingdom,750120,Processed,4697.784,mirror,-38.416097,-63.616672,55.378051,-3.435973
Nickel,ARG,SGP,Argentina,Singapore,282735|750512,Processed,418.341,mirror,-38.416097,-63.616672,1.352083,103.819836
Nickel,ARG,HND,Argentina,Honduras,750620,Processed,190.94,mirror,-38.416097,-63.616672,15.199999,-86.241905
Nickel,ARM,DEU,Armenia,Germany,750210,Processed,364300.032,mirror,40.069099,45.038189,51.165691,10.451526
Nickel,ARM,FRA,Armenia,France,750220,Processed,327883.348,mirror,40.069099,45.038189,46.227638,2.213749
Nickel,ARM,RUS,Armenia,Russian Federation,282540,Processed,4718.94,direct,40.069099,45.038189,61.52401,105.318756
Nickel,ARM,ARE,Armenia,United Arab Emirates,750522,Processed,203.04,direct,40.069099,45.038189,23.424076,53.847818
Nickel,ABW,JOR,Aruba,Jordan,750300,Processed,302330.985,mirror,,,30.585164,36.238414
Nickel,AUS,DEU,Australia,Germany,750110|750210|750220|750400|750511|750512|750522,Processed,694100487.8,direct,-25.274398,133.775136,51.165691,10.451526
Nickel,AUS,SWE,Australia,Sweden,283324|750210|750220|750300|750400,Processed,461002945.1,mirror,-25.274398,133.775136,60.128161,18.643501
Nickel,AUS,JPN,Australia,Japan,283324|750110|750210|750300|750400|750522|750620,Processed,329038004.4,direct,-25.274398,133.775136,36.204824,138.252924
Nickel,AUS,CHN,Australia,China,283324|750110|750120|750210|750220|750300|750400|750512,Processed,255970412,direct,-25.274398,133.775136,35.86166,104.195397
Nickel,AUS,MYS,Australia,Malaysia,750120|750210|750220|750400|750512|750522|750712,Processed,249158574.8,direct,-25.274398,133.775136,4.210484,101.975766
Nickel,AUS,USA,Australia,USA,282540|283324|750120|750210|750220|750300|750400|750512|750522|750610|750620,Processed,233461700.9,direct,-25.274398,133.775136,37.09024,-95.712891
Nickel,AUS,NOR,Australia,Norway,283324|750110|750400|750512|750522|750620,Processed,221264776.1,direct,-25.274398,133.775136,60.472024,8.468946
Nickel,AUS,ESP,Australia,Spain,750120|750210|750512|750620,Processed,161338892.8,mirror,-25.274398,133.775136,40.463667,-3.74922
Nickel,AUS,KOR,Australia,Rep. of Korea,282735|750110|750120|750210|750220|750300|750400|750610|750620,Processed,152880448.4,direct,-25.274398,133.775136,35.907757,127.766922
Nickel,AUS,FRA,Australia,France,750210|750300|750400|750512|750522,Processed,85104581.11,direct,-25.274398,133.775136,46.227638,2.213749
Nickel,AUS,GBR,Australia,United Kingdom,750210|750220|750300|750400|750512|750610|750712,Processed,69236447.7,direct,-25.274398,133.775136,55.378051,-3.435973
Nickel,AUS,S19,Australia,"Other Asia, nes",750210|750220|750400|750512|750610,Processed,58449766.5,direct,-25.274398,133.775136,,
Nickel,AUS,MAR,Australia,Morocco,283324|750210,Processed,44978754.82,mirror,-25.274398,133.775136,31.791702,-7.09262
Nickel,AUS,SGP,Australia,Singapore,283324|750210|750220|750300|750512|750522|750620|750712,Processed,35682538.11,direct,-25.274398,133.775136,1.352083,103.819836
Nickel,AUS,CAN,Australia,Canada,750110|750120|750210|750300|750400|750512|750712,Processed,31851603.36,direct,-25.274398,133.775136,56.130366,-106.346771
Nickel,AUS,TUR,Australia,Türkiye,282540|750210|750220|750400|750712,Processed,23430529.16,direct,-25.274398,133.775136,38.963745,35.243322
Nickel,AUS,NLD,Australia,Netherlands,750210|750300|750400|750712,Processed,23263764.01,direct,-25.274398,133.775136,52.132633,5.291266
Nickel,AUS,AUT,Australia,Austria,750210|750220|750620,Processed,19908260.6,mirror,-25.274398,133.775136,47.516231,14.550072
Nickel,AUS,SVN,Australia,Slovenia,750210|750512,Processed,19159938.17,mirror,-25.274398,133.775136,46.151241,14.995463
Nickel,AUS,FIN,Australia,Finland,283324|750110|750400,Processed,17312949.69,direct,-25.274398,133.775136,61.92411,25.748151
Nickel,AUS,IND,Australia,India,282540|750210|750300|750512,Processed,9035774.43,direct,-25.274398,133.775136,20.593684,78.96288
Nickel,AUS,AUS,Australia,Australia,750210|750220,Processed,8275204.782,mirror,-25.274398,133.775136,-25.274398,133.775136
Nickel,AUS,ITA,Australia,Italy,750210|750220|750300|750512,Processed,7282681.19,direct,-25.274398,133.775136,41.87194,12.56738
Nickel,AUS,BEL,Australia,Belgium,750400|750512,Processed,6899425.245,mirror,-25.274398,133.775136,50.503887,4.469936
Nickel,AUS,BRA,Australia,Brazil,750210|750512,Processed,5333218,mirror,-25.274398,133.775136,-14.235004,-51.92528
Nickel,AUS,ARE,Australia,United Arab Emirates,750512,Processed,4796825.442,direct,-25.274398,133.775136,23.424076,53.847818
Nickel,AUS,SAU,Australia,Saudi Arabia,750210|750220|750400|750512,Processed,4143651.363,mirror,-25.274398,133.775136,23.885942,45.079162
Nickel,AUS,SRB,Australia,Serbia,750210,Processed,4018288,mirror,-25.274398,133.775136,44.016521,21.005859
Nickel,AUS,ARG,Australia,Argentina,750210,Processed,3706793.94,mirror,-25.274398,133.775136,-38.416097,-63.616672
Nickel,AUS,CZE,Australia,Czechia,750210|750220|750512,Processed,3207292,mirror,-25.274398,133.775136,49.817492,15.472962
Nickel,AUS,BGR,Australia,Bulgaria,750210|750610,Processed,3176309.1,mirror,-25.274398,133.775136,42.733883,25.48583
Nickel,AUS,MKD,Australia,North Macedonia,750210,Processed,1776839.98,mirror,-25.274398,133.775136,41.608635,21.745275
Nickel,AUS,POL,Australia,Poland,750210|750400,Processed,1682465,mirror,-25.274398,133.775136,51.919438,19.145136
Nickel,AUS,THA,Australia,Thailand,283324|750220|750300|750620,Processed,1374963.63,direct,-25.274398,133.775136,15.870032,100.992541
Nickel,AUS,SVK,Australia,Slovakia,750210,Processed,879187.344,mirror,-25.274398,133.775136,48.669026,19.699024
Nickel,AUS,ISR,Australia,Israel,750220,Processed,573000,mirror,-25.274398,133.775136,31.046051,34.851612
Nickel,AUS,NZL,Australia,New Zealand,282540|282735|750210|750220|750300|750400|750512|750521|750522|750620|750712,Processed,559647.92,direct,-25.274398,133.775136,-40.900557,174.885971
Nickel,AUS,PER,Australia,Peru,283324|750400,Processed,155683.9,mirror,-25.274398,133.775136,-9.189967,-75.015152
Nickel,AUS,COL,Australia,Colombia,283324|750210|750400,Processed,105528.57,mirror,-25.274398,133.775136,4.570868,-74.297333
Nickel,AUS,CHE,Australia,Switzerland,283324|750512|750620,Processed,65303.436,direct,-25.274398,133.775136,46.818188,8.227512
Nickel,AUS,ROU,Australia,Romania,750512,Processed,53884.6,mirror,-25.274398,133.775136,45.943161,24.96676
Nickel,AUS,IDN,Australia,Indonesia,750400|750521|750522|750620|750712,Processed,46200.504,direct,-25.274398,133.775136,-0.789275,113.921327
Nickel,AUS,QAT,Australia,Qatar,750512,Processed,26908.535,mirror,-25.274398,133.775136,25.354826,51.183884
