Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Cobalt,_X ,LUX,"Areas, nes",Luxembourg,810520,Raw,1186088.376,mirror,,,49.815273,6.129583
Cobalt,_X ,FRA,"Areas, nes",France,810520,Raw,642739.164,mirror,,,46.227638,2.213749
Cobalt,_X ,HRV,"Areas, nes",Croatia,810520,Raw,3.0,mirror,,,45.1,15.2
Cobalt,ARG,GTM,Argentina,Guatemala,260500,Raw,5004.0,mirror,-38.416097,-63.616672,15.783471,-90.230759
Cobalt,AUS,S19,Australia,"Other Asia, nes",810520,Raw,95744849.838,direct,-25.274398,133.775136,,
Cobalt,AUS,USA,Australia,USA,810520,Raw,10844444.392,direct,-25.274398,133.775136,37.09024,-95.712891
Cobalt,AUS,NLD,Australia,Netherlands,810520,Raw,10724650.92,direct,-25.274398,133.775136,52.132633,5.291266
Cobalt,AUS,JPN,Australia,Japan,810520,Raw,6692068.628,direct,-25.274398,133.775136,36.204824,138.252924
Cobalt,AUS,AUT,Australia,Austria,810520,Raw,6602315.154,mirror,-25.274398,133.775136,47.516231,14.550072
Cobalt,AUS,CAN,Australia,Canada,810520,Raw,4139201.796,mirror,-25.274398,133.775136,56.130366,-106.346771
Cobalt,AUS,GBR,Australia,United Kingdom,810520,Raw,4126410.944,direct,-25.274398,133.775136,55.378051,-3.435973
Cobalt,AUS,CHN,Australia,China,810520,Raw,1271213.0,mirror,-25.274398,133.775136,35.86166,104.195397
Cobalt,AUS,BRA,Australia,Brazil,810520,Raw,401639.734,direct,-25.274398,133.775136,-14.235004,-51.92528
Cobalt,AUS,KOR,Australia,Rep. of Korea,260500|810520,Raw,301663.934,direct,-25.274398,133.775136,35.907757,127.766922
Cobalt,AUS,TUR,Australia,Türkiye,260500|810520,Raw,244874.494,direct,-25.274398,133.775136,38.963745,35.243322
Cobalt,AUS,MYS,Australia,Malaysia,260500|810520,Raw,210396.482,direct,-25.274398,133.775136,4.210484,101.975766
Cobalt,AUS,SAU,Australia,Saudi Arabia,810520,Raw,83363.796,direct,-25.274398,133.775136,23.885942,45.079162
Cobalt,AUS,ARG,Australia,Argentina,810520,Raw,57640.0,mirror,-25.274398,133.775136,-38.416097,-63.616672
Cobalt,AUS,ARE,Australia,United Arab Emirates,810520,Raw,39994.508,direct,-25.274398,133.775136,23.424076,53.847818
Cobalt,AUS,PRT,Australia,Portugal,810520,Raw,3898.096,mirror,-25.274398,133.775136,39.399872,-8.224454
Cobalt,AUS,PNG,Australia,Papua New Guinea,810520,Raw,1636.576,direct,-25.274398,133.775136,-6.314993,143.95555
Cobalt,AUS,FJI,Australia,Fiji,810520,Raw,178.989,mirror,-25.274398,133.775136,-16.578193,179.414413
Cobalt,AUT,CAN,Austria,Canada,810520,Raw,453733.889,direct,47.516231,14.550072,56.130366,-106.346771
Cobalt,AUT,FIN,Austria,Finland,260500,Raw,262861.54,mirror,47.516231,14.550072,61.92411,25.748151
Cobalt,AUT,SVN,Austria,Slovenia,810520,Raw,112542.673,direct,47.516231,14.550072,46.151241,14.995463
Cobalt,AUT,ITA,Austria,Italy,810520,Raw,90626.634,direct,47.516231,14.550072,41.87194,12.56738
Cobalt,AUT,GBR,Austria,United Kingdom,810520,Raw,79864.525,direct,47.516231,14.550072,55.378051,-3.435973
Cobalt,AUT,CHE,Austria,Switzerland,260500|810520,Raw,39093.125,direct,47.516231,14.550072,46.818188,8.227512
Cobalt,AUT,DEU,Austria,Germany,810520,Raw,27255.422,direct,47.516231,14.550072,51.165691,10.451526
Cobalt,AUT,ROU,Austria,Romania,810520,Raw,12223.64,mirror,47.516231,14.550072,45.943161,24.96676
Cobalt,AUT,EST,Austria,Estonia,810520,Raw,4442.089,direct,47.516231,14.550072,58.595272,25.013607
Cobalt,AUT,ESP,Austria,Spain,810520,Raw,2685.386,direct,47.516231,14.550072,40.463667,-3.74922
Cobalt,AUT,ARG,Austria,Argentina,810520,Raw,2682.24,mirror,47.516231,14.550072,-38.416097,-63.616672
Cobalt,AUT,TUR,Austria,Türkiye,810520,Raw,1886.589,direct,47.516231,14.550072,38.963745,35.243322
Cobalt,AUT,LVA,Austria,Latvia,810520,Raw,1868.189,direct,47.516231,14.550072,56.879635,24.603189
Cobalt,AUT,HUN,Austria,Hungary,810520,Raw,1539.145,direct,47.516231,14.550072,47.162494,19.503304
Cobalt,AUT,USA,Austria,USA,260500|810520,Raw,1055.321,direct,47.516231,14.550072,37.09024,-95.712891
Cobalt,AUT,BGR,Austria,Bulgaria,810520,Raw,582.321,direct,47.516231,14.550072,42.733883,25.48583
Cobalt,AUT,JPN,Austria,Japan,810520,Raw,500.06,direct,47.516231,14.550072,36.204824,138.252924
Cobalt,AUT,NOR,Austria,Norway,810520,Raw,349.904,mirror,47.516231,14.550072,60.472024,8.468946
Cobalt,AUT,PER,Austria,Peru,810520,Raw,325.797,direct,47.516231,14.550072,-9.189967,-75.015152
Cobalt,AUT,FRA,Austria,France,810520,Raw,96.332,direct,47.516231,14.550072,46.227638,2.213749
Cobalt,AUT,S19,Austria,"Other Asia, nes",810520,Raw,76.849,direct,47.516231,14.550072,,
Cobalt,AUT,CHN,Austria,China,810520,Raw,70.355,direct,47.516231,14.550072,35.86166,104.195397
Cobalt,AUT,POL,Austria,Poland,810520,Raw,25.977,direct,47.516231,14.550072,51.919438,19.145136
Cobalt,AUT,SWE,Austria,Sweden,810520,Raw,25.977,direct,47.516231,14.550072,60.128161,18.643501
Cobalt,AUT,CZE,Austria,Czechia,810520,Raw,12.989,direct,47.516231,14.550072,49.817492,15.472962
Cobalt,AUT,LTU,Austria,Lithuania,810520,Raw,12.989,direct,47.516231,14.550072,55.169438,23.881275
Cobalt,AUT,NLD,Austria,Netherlands,810520,Raw,12.989,direct,47.516231,14.550072,52.132633,5.291266
Cobalt,BGD,CHE,Bangladesh,Switzerland,810520,Raw,467.948,mirror,23.684994,90.356331,46.818188,8.227512
Cobalt,BEL,DEU,Belgium,Germany,260500|810520,Raw,20290084.733,direct,50.503887,4.469936,51.165691,10.451526
