Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Graphite,ALB,ITA,Albania,Italy,250410,Raw,15680.401,mirror,41.153332,20.168331,41.87194,12.56738
Graphite,DZA,FRA,Algeria,France,250490,Raw,168.852,mirror,28.033886,1.659626,46.227638,2.213749
Graphite,_X ,CZE,"Areas, nes",Czechia,250410,Raw,12032.0,mirror,,,49.817492,15.472962
Graphite,_X ,FRA,"Areas, nes",France,250410|250490,Raw,6831.984,mirror,,,46.227638,2.213749
Graphite,_X ,CHL,"Areas, nes",Chile,250410,Raw,700.0,mirror,,,-35.675147,-71.542969
Graphite,ARG,BRA,Argentina,Brazil,250410,Raw,12524.0,mirror,-38.416097,-63.616672,-14.235004,-51.92528
Graphite,ARM,RUS,Armenia,Russian Federation,250490,Raw,495.08,direct,40.069099,45.038189,61.52401,105.318756
Graphite,AUS,THA,Australia,Thailand,250410,Raw,168267.28,mirror,-25.274398,133.775136,15.870032,100.992541
Graphite,AUS,CHN,Australia,China,250410|250490,Raw,120558.538,direct,-25.274398,133.775136,35.86166,104.195397
Graphite,AUS,NZL,Australia,New Zealand,250410|250490,Raw,92518.068,direct,-25.274398,133.775136,-40.900557,174.885971
Graphite,AUS,ZAF,Australia,South Africa,250490,Raw,7829.172,direct,-25.274398,133.775136,-30.559482,22.937506
Graphite,AUS,CAN,Australia,Canada,250410|250490,Raw,7316.996,direct,-25.274398,133.775136,56.130366,-106.346771
Graphite,AUS,DEU,Australia,Germany,250410,Raw,5281.288,mirror,-25.274398,133.775136,51.165691,10.451526
Graphite,AUS,PNG,Australia,Papua New Guinea,250490,Raw,4561.298,direct,-25.274398,133.775136,-6.314993,143.95555
Graphite,AUS,ITA,Australia,Italy,250490,Raw,1135.046,direct,-25.274398,133.775136,41.87194,12.56738
Graphite,AUS,ESP,Australia,Spain,250490,Raw,1112.256,mirror,-25.274398,133.775136,40.463667,-3.74922
Graphite,AUS,SGP,Australia,Singapore,250410,Raw,1102.352,mirror,-25.274398,133.775136,1.352083,103.819836
Graphite,AUS,FRA,Australia,France,250490,Raw,658.088,mirror,-25.274398,133.775136,46.227638,2.213749
Graphite,AUS,FJI,Australia,Fiji,250490,Raw,341.225,mirror,-25.274398,133.775136,-16.578193,179.414413
Graphite,AUS,GBR,Australia,United Kingdom,250490,Raw,211.172,direct,-25.274398,133.775136,55.378051,-3.435973
Graphite,AUS,USA,Australia,USA,250490,Raw,131.982,direct,-25.274398,133.775136,37.09024,-95.712891
Graphite,AUS,FIN,Australia,Finland,250410,Raw,80.51,direct,-25.274398,133.775136,61.92411,25.748151
Graphite,AUS,POL,Australia,Poland,250410,Raw,24.0,mirror,-25.274398,133.775136,51.919438,19.145136
Graphite,AUS,TUV,Australia,Tuvalu,250490,Raw,21.118,direct,-25.274398,133.775136,,
Graphite,AUT,DEU,Austria,Germany,250410,Raw,3499653.165,direct,47.516231,14.550072,51.165691,10.451526
Graphite,AUT,IND,Austria,India,250410|250490,Raw,935669.893,direct,47.516231,14.550072,20.593684,78.96288
Graphite,AUT,ITA,Austria,Italy,250410,Raw,832483.707,direct,47.516231,14.550072,41.87194,12.56738
Graphite,AUT,TUR,Austria,Türkiye,250410,Raw,596542.084,direct,47.516231,14.550072,38.963745,35.243322
Graphite,AUT,FRA,Austria,France,250410,Raw,448099.016,direct,47.516231,14.550072,46.227638,2.213749
Graphite,AUT,GBR,Austria,United Kingdom,250410,Raw,233294.12,direct,47.516231,14.550072,55.378051,-3.435973
Graphite,AUT,CZE,Austria,Czechia,250410,Raw,145068.206,direct,47.516231,14.550072,49.817492,15.472962
Graphite,AUT,ESP,Austria,Spain,250410,Raw,125537.733,direct,47.516231,14.550072,40.463667,-3.74922
Graphite,AUT,SVN,Austria,Slovenia,250410,Raw,109184.047,direct,47.516231,14.550072,46.151241,14.995463
Graphite,AUT,NOR,Austria,Norway,250410,Raw,77237.587,direct,47.516231,14.550072,60.472024,8.468946
Graphite,AUT,POL,Austria,Poland,250410,Raw,62797.55,direct,47.516231,14.550072,51.919438,19.145136
Graphite,AUT,ROU,Austria,Romania,250410,Raw,57764.48,direct,47.516231,14.550072,45.943161,24.96676
Graphite,AUT,IDN,Austria,Indonesia,250410,Raw,57698.455,direct,47.516231,14.550072,-0.789275,113.921327
Graphite,AUT,NLD,Austria,Netherlands,250410|250490,Raw,48975.551,direct,47.516231,14.550072,52.132633,5.291266
Graphite,AUT,ARG,Austria,Argentina,250410,Raw,43881.869,direct,47.516231,14.550072,-38.416097,-63.616672
Graphite,AUT,USA,Austria,USA,250410|250490,Raw,35770.509,direct,47.516231,14.550072,37.09024,-95.712891
Graphite,AUT,SRB,Austria,Serbia,250410,Raw,28991.561,direct,47.516231,14.550072,44.016521,21.005859
Graphite,AUT,CHE,Austria,Switzerland,250410,Raw,28989.396,direct,47.516231,14.550072,46.818188,8.227512
Graphite,AUT,EST,Austria,Estonia,250410,Raw,26573.2,mirror,47.516231,14.550072,58.595272,25.013607
Graphite,AUT,CAN,Austria,Canada,250410|250490,Raw,20235.489,mirror,47.516231,14.550072,56.130366,-106.346771
Graphite,AUT,CHN,Austria,China,250410,Raw,17190.366,direct,47.516231,14.550072,35.86166,104.195397
Graphite,AUT,MKD,Austria,North Macedonia,250410,Raw,11846.654,direct,47.516231,14.550072,41.608635,21.745275
Graphite,AUT,SWE,Austria,Sweden,250410,Raw,10976.908,mirror,47.516231,14.550072,60.128161,18.643501
Graphite,AUT,THA,Austria,Thailand,250410,Raw,10962.44,mirror,47.516231,14.550072,15.870032,100.992541
Graphite,AUT,KOR,Austria,Rep. of Korea,250410|250490,Raw,10789.168,direct,47.516231,14.550072,35.907757,127.766922
Graphite,AUT,ZAF,Austria,South Africa,250410,Raw,7697.89,direct,47.516231,14.550072,-30.559482,22.937506
Graphite,AUT,BGR,Austria,Bulgaria,250410,Raw,6284.301,direct,47.516231,14.550072,42.733883,25.48583
Graphite,AUT,AUS,Austria,Australia,250410,Raw,4271.073,direct,47.516231,14.550072,-25.274398,133.775136
Graphite,AUT,GTM,Austria,Guatemala,250410,Raw,4219.119,direct,47.516231,14.550072,15.783471,-90.230759
Graphite,AUT,BRA,Austria,Brazil,250410|250490,Raw,3979.147,direct,47.516231,14.550072,-14.235004,-51.92528
Graphite,AUT,MAR,Austria,Morocco,250410,Raw,2760.07,direct,47.516231,14.550072,31.791702,-7.09262
Graphite,AUT,KAZ,Austria,Kazakhstan,250490,Raw,2405.91,mirror,47.516231,14.550072,48.019573,66.923684
Graphite,AUT,SVK,Austria,Slovakia,250410,Raw,1844.376,mirror,47.516231,14.550072,48.669026,19.699024
Graphite,AUT,PAK,Austria,Pakistan,250410|250490,Raw,1808.299,direct,47.516231,14.550072,30.375321,69.345116
Graphite,AUT,BEL,Austria,Belgium,250410,Raw,1787.01,direct,47.516231,14.550072,50.503887,4.469936
Graphite,AUT,HUN,Austria,Hungary,250410,Raw,1581.358,direct,47.516231,14.550072,47.162494,19.503304
Graphite,AUT,IRL,Austria,Ireland,250410,Raw,1134.335,mirror,47.516231,14.550072,53.41291,-8.24389
Graphite,AUT,NZL,Austria,New Zealand,250410,Raw,902.705,direct,47.516231,14.550072,-40.900557,174.885971
Graphite,AUT,FIN,Austria,Finland,250410,Raw,886.502,mirror,47.516231,14.550072,61.92411,25.748151
Graphite,AUT,SGP,Austria,Singapore,250410,Raw,734.936,direct,47.516231,14.550072,1.352083,103.819836
Graphite,AUT,BIH,Austria,Bosnia Herzegovina,250410|250490,Raw,687.3109999999999,direct,47.516231,14.550072,43.915886,17.679076
Graphite,AUT,LUX,Austria,Luxembourg,250410,Raw,197.978,mirror,47.516231,14.550072,49.815273,6.129583
Graphite,AUT,ISR,Austria,Israel,250410,Raw,196.993,direct,47.516231,14.550072,31.046051,34.851612
Graphite,AUT,ARE,Austria,United Arab Emirates,250410,Raw,186.169,direct,47.516231,14.550072,23.424076,53.847818
Graphite,AUT,ECU,Austria,Ecuador,250410,Raw,140.709,direct,47.516231,14.550072,-1.831239,-78.183406
Graphite,AUT,UKR,Austria,Ukraine,250410,Raw,121.227,direct,47.516231,14.550072,48.379433,31.16558
Graphite,AUT,JPN,Austria,Japan,250410,Raw,115.815,direct,47.516231,14.550072,36.204824,138.252924
Graphite,AUT,MEX,Austria,Mexico,250410,Raw,107.156,direct,47.516231,14.550072,23.634501,-102.552784
Graphite,AUT,ARM,Austria,Armenia,250410,Raw,34.636,direct,47.516231,14.550072,40.069099,45.038189
Graphite,AUT,HRV,Austria,Croatia,250410,Raw,28.142,direct,47.516231,14.550072,45.1,15.2
Graphite,AUT,VNM,Austria,Viet Nam,250410,Raw,17.318,direct,47.516231,14.550072,14.058324,108.277199
Graphite,AUT,MYS,Austria,Malaysia,250410,Raw,16.236,direct,47.516231,14.550072,4.210484,101.975766
Graphite,AUT,PRY,Austria,Paraguay,250410,Raw,3.247,direct,47.516231,14.550072,-23.442503,-58.443832
Graphite,AZE,TUR,Azerbaijan,Türkiye,250410,Raw,4.0,direct,40.143105,47.576927,38.963745,35.243322
Graphite,BEL,ESP,Belgium,Spain,250410|250490,Raw,634308.373,direct,50.503887,4.469936,40.463667,-3.74922
Graphite,BEL,ROU,Belgium,Romania,250410,Raw,247768.52,mirror,50.503887,4.469936,45.943161,24.96676
