Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Lithium,AFG,USA,Afghanistan,USA,253090,Raw,8556.0,mirror,33.93911,67.709953,37.09024,-95.712891
Lithium,AFG,CHE,Afghanistan,Switzerland,253090,Raw,7809.724,mirror,33.93911,67.709953,46.818188,8.227512
Lithium,AFG,CAN,Afghanistan,Canada,253090,Raw,2863.78,mirror,33.93911,67.709953,56.130366,-106.346771
Lithium,AFG,FRA,Afghanistan,France,253090,Raw,870.232,mirror,33.93911,67.709953,46.227638,2.213749
Lithium,AFG,CZE,Afghanistan,Czechia,253090,Raw,184.0,mirror,33.93911,67.709953,49.817492,15.472962
Lithium,ALB,FRA,Albania,France,253090,Raw,1121.348,mirror,41.153332,20.168331,46.227638,2.213749
Lithium,ALB,CHN,Albania,China,253090,Raw,1100.0,mirror,41.153332,20.168331,35.86166,104.195397
Lithium,ALB,TUR,Albania,Türkiye,253090,Raw,120.0,mirror,41.153332,20.168331,38.963745,35.243322
Lithium,ALB,DNK,Albania,Denmark,253090,Raw,1.015,mirror,41.153332,20.168331,56.26392,9.501785
Lithium,DZA,CHN,Algeria,China,253090,Raw,2065.0,mirror,28.033886,1.659626,35.86166,104.195397
Lithium,DZA,JPN,Algeria,Japan,253090,Raw,1869.637,mirror,28.033886,1.659626,36.204824,138.252924
Lithium,DZA,FRA,Algeria,France,253090,Raw,489.236,mirror,28.033886,1.659626,46.227638,2.213749
Lithium,DZA,POL,Algeria,Poland,253090,Raw,113.0,mirror,28.033886,1.659626,51.919438,19.145136
Lithium,ASM,WSM,American Samoa,Samoa,253090,Raw,145.81,mirror,,,,
Lithium,AGO,DEU,Angola,Germany,253090,Raw,19230.6,mirror,-11.202692,17.873887,51.165691,10.451526
Lithium,AGO,ZAF,Angola,South Africa,253090,Raw,4049.832,mirror,-11.202692,17.873887,-30.559482,22.937506
Lithium,AGO,ITA,Angola,Italy,253090,Raw,1100.269,mirror,-11.202692,17.873887,41.87194,12.56738
Lithium,AGO,NAM,Angola,Namibia,253090,Raw,553.6,direct,-11.202692,17.873887,-22.95764,18.49041
Lithium,AGO,CHN,Angola,China,253090,Raw,408.58,direct,-11.202692,17.873887,35.86166,104.195397
Lithium,AGO,FRA,Angola,France,253090,Raw,201.0,direct,-11.202692,17.873887,46.227638,2.213749
Lithium,AGO,GBR,Angola,United Kingdom,253090,Raw,20.0,direct,-11.202692,17.873887,55.378051,-3.435973
Lithium,AGO,BRA,Angola,Brazil,253090,Raw,15.0,direct,-11.202692,17.873887,-14.235004,-51.92528
Lithium,AGO,USA,Angola,USA,253090,Raw,10.0,direct,-11.202692,17.873887,37.09024,-95.712891
Lithium,AIA,CAN,Anguilla,Canada,253090,Raw,962.116,mirror,,,56.130366,-106.346771
Lithium,ATA,BEL,Antarctica,Belgium,253090,Raw,698.135,mirror,,,50.503887,4.469936
Lithium,ATA,POL,Antarctica,Poland,253090,Raw,479.0,mirror,,,51.919438,19.145136
Lithium,ATA,KOR,Antarctica,Rep. of Korea,253090,Raw,190.0,mirror,,,35.907757,127.766922
Lithium,ATA,CAN,Antarctica,Canada,253090,Raw,76.18,mirror,,,56.130366,-106.346771
Lithium,_X ,CHN,"Areas, nes",China,253090,Raw,15240679.0,mirror,,,35.86166,104.195397
Lithium,_X ,FRA,"Areas, nes",France,253090,Raw,167470.239,mirror,,,46.227638,2.213749
Lithium,_X ,CZE,"Areas, nes",Czechia,253090,Raw,128828.0,mirror,,,49.817492,15.472962
Lithium,_X ,PYF,"Areas, nes",French Polynesia,253090,Raw,117613.176,mirror,,,,
