Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Manganese,AGO,CHN,Angola,China,260200,Raw,200000.0,direct,-11.202692,17.873887,35.86166,104.195397
Manganese,AGO,CIV,Angola,Côte d'Ivoire,260200,Raw,62851.563,mirror,-11.202692,17.873887,7.539989,-5.54708
Manganese,_X ,FRA,"Areas, nes",France,260200,Raw,320.384,mirror,,,46.227638,2.213749
Manganese,ARG,CHL,Argentina,Chile,260200,Raw,13969.59,mirror,-38.416097,-63.616672,-35.675147,-71.542969
Manganese,ARG,ESP,Argentina,Spain,260200,Raw,1477.256,mirror,-38.416097,-63.616672,40.463667,-3.74922
Manganese,AUS,CHN,Australia,China,260200,Raw,411455277.0,mirror,-25.274398,133.775136,35.86166,104.195397
Manganese,AUS,MYS,Australia,Malaysia,260200,Raw,61713714.466,mirror,-25.274398,133.775136,4.210484,101.975766
Manganese,AUS,IND,Australia,India,260200,Raw,58598741.943,mirror,-25.274398,133.775136,20.593684,78.96288
Manganese,AUS,KOR,Australia,Rep. of Korea,260200,Raw,16937984.0,mirror,-25.274398,133.775136,35.907757,127.766922
Manganese,AUS,IDN,Australia,Indonesia,260200,Raw,13118582.0,mirror,-25.274398,133.775136,-0.789275,113.921327
Manganese,AUS,JPN,Australia,Japan,260200,Raw,10687206.563,mirror,-25.274398,133.775136,36.204824,138.252924
Manganese,AUS,ZAF,Australia,South Africa,260200,Raw,13.312,mirror,-25.274398,133.775136,-30.559482,22.937506
Manganese,AUT,DEU,Austria,Germany,260200,Raw,762819.464,mirror,47.516231,14.550072,51.165691,10.451526
Manganese,AUT,GRC,Austria,Greece,260200,Raw,209.982,mirror,47.516231,14.550072,39.074208,21.824312
Manganese,AUT,USA,Austria,USA,260200,Raw,162.357,direct,47.516231,14.550072,37.09024,-95.712891
Manganese,AUT,IND,Austria,India,260200,Raw,1.082,direct,47.516231,14.550072,20.593684,78.96288
Manganese,BEL,DEU,Belgium,Germany,260200,Raw,1330160.716,direct,50.503887,4.469936,51.165691,10.451526
Manganese,BEL,NLD,Belgium,Netherlands,260200,Raw,1220886.648,direct,50.503887,4.469936,52.132633,5.291266
Manganese,BEL,POL,Belgium,Poland,260200,Raw,1092381.114,direct,50.503887,4.469936,51.919438,19.145136
Manganese,BEL,FRA,Belgium,France,260200,Raw,710981.792,direct,50.503887,4.469936,46.227638,2.213749
Manganese,BEL,HUN,Belgium,Hungary,260200,Raw,645329.377,direct,50.503887,4.469936,47.162494,19.503304
Manganese,BEL,ITA,Belgium,Italy,260200,Raw,627998.398,direct,50.503887,4.469936,41.87194,12.56738
Manganese,BEL,ESP,Belgium,Spain,260200,Raw,615340.587,direct,50.503887,4.469936,40.463667,-3.74922
Manganese,BEL,GBR,Belgium,United Kingdom,260200,Raw,270469.461,direct,50.503887,4.469936,55.378051,-3.435973
Manganese,BEL,TUR,Belgium,Türkiye,260200,Raw,181926.767,direct,50.503887,4.469936,38.963745,35.243322
Manganese,BEL,GRC,Belgium,Greece,260200,Raw,159904.146,direct,50.503887,4.469936,39.074208,21.824312
Manganese,BEL,ROU,Belgium,Romania,260200,Raw,123672.239,direct,50.503887,4.469936,45.943161,24.96676
Manganese,BEL,CZE,Belgium,Czechia,260200,Raw,109435.451,direct,50.503887,4.469936,49.817492,15.472962
Manganese,BEL,BGR,Belgium,Bulgaria,260200,Raw,65537.033,direct,50.503887,4.469936,42.733883,25.48583
Manganese,BEL,IRL,Belgium,Ireland,260200,Raw,63318.175,mirror,50.503887,4.469936,53.41291,-8.24389
Manganese,BEL,SRB,Belgium,Serbia,260200,Raw,57885.707,direct,50.503887,4.469936,44.016521,21.005859
Manganese,BEL,BIH,Belgium,Bosnia Herzegovina,260200,Raw,25327.703,direct,50.503887,4.469936,43.915886,17.679076
Manganese,BEL,AUT,Belgium,Austria,260200,Raw,24475.296,direct,50.503887,4.469936,47.516231,14.550072
Manganese,BEL,UKR,Belgium,Ukraine,260200,Raw,17729.392,direct,50.503887,4.469936,48.379433,31.16558
Manganese,BEL,CHE,Belgium,Switzerland,260200,Raw,17437.149,direct,50.503887,4.469936,46.818188,8.227512
Manganese,BEL,LBN,Belgium,Lebanon,260200,Raw,11079.311,direct,50.503887,4.469936,33.854721,35.862285
Manganese,BEL,USA,Belgium,USA,260200,Raw,10253.715,direct,50.503887,4.469936,37.09024,-95.712891
Manganese,BEL,DNK,Belgium,Denmark,260200,Raw,5159.344,mirror,50.503887,4.469936,56.26392,9.501785
Manganese,BEL,SYR,Belgium,Syria,260200,Raw,4587.67,direct,50.503887,4.469936,34.802075,38.996815
Manganese,BEL,FIN,Belgium,Finland,260200,Raw,2078.257,direct,50.503887,4.469936,61.92411,25.748151
Manganese,BEL,IND,Belgium,India,260200,Raw,1220.914,direct,50.503887,4.469936,20.593684,78.96288
Manganese,BEL,LUX,Belgium,Luxembourg,260200,Raw,1116.162,mirror,50.503887,4.469936,49.815273,6.129583
Manganese,BEL,MDA,Belgium,Rep. of Moldova,260200,Raw,916.0,mirror,50.503887,4.469936,47.411631,28.369885
Manganese,BEL,SWE,Belgium,Sweden,260200,Raw,757.028,mirror,50.503887,4.469936,60.128161,18.643501
Manganese,BEL,PRT,Belgium,Portugal,260200,Raw,461.064,mirror,50.503887,4.469936,39.399872,-8.224454
Manganese,BEL,SVN,Belgium,Slovenia,260200,Raw,198.536,mirror,50.503887,4.469936,46.151241,14.995463
Manganese,BEL,MLT,Belgium,Malta,260200,Raw,108.24,mirror,50.503887,4.469936,35.937496,14.375416
Manganese,BOL,NLD,Bolivia (Plurinational State of),Netherlands,260200,Raw,103.909,mirror,-16.290154,-63.588653,52.132633,5.291266
Manganese,BWA,ZAF,Botswana,South Africa,260200,Raw,454.152,mirror,-22.328474,24.684866,-30.559482,22.937506
Manganese,BRA,CHN,Brazil,China,260200,Raw,106308574.0,direct,-14.235004,-51.92528,35.86166,104.195397
Manganese,BRA,URY,Brazil,Uruguay,260200,Raw,20039716.0,direct,-14.235004,-51.92528,-32.522779,-55.765835
Manganese,BRA,DEU,Brazil,Germany,260200,Raw,17020558.176,mirror,-14.235004,-51.92528,51.165691,10.451526
Manganese,BRA,COL,Brazil,Colombia,260200,Raw,10680510.0,direct,-14.235004,-51.92528,4.570868,-74.297333
Manganese,BRA,ARG,Brazil,Argentina,260200,Raw,9329180.0,direct,-14.235004,-51.92528,-38.416097,-63.616672
Manganese,BRA,IND,Brazil,India,260200,Raw,7166346.0,direct,-14.235004,-51.92528,20.593684,78.96288
Manganese,BRA,OMN,Brazil,Oman,260200,Raw,6313372.0,direct,-14.235004,-51.92528,21.512583,55.923255
Manganese,BRA,TUR,Brazil,Türkiye,260200,Raw,5572990.0,direct,-14.235004,-51.92528,38.963745,35.243322
Manganese,BRA,POL,Brazil,Poland,260200,Raw,1624242.0,direct,-14.235004,-51.92528,51.919438,19.145136
Manganese,BRA,ESP,Brazil,Spain,260200,Raw,1282716.0,direct,-14.235004,-51.92528,40.463667,-3.74922
Manganese,BRA,FRA,Brazil,France,260200,Raw,731160.988,mirror,-14.235004,-51.92528,46.227638,2.213749
Manganese,BRA,ITA,Brazil,Italy,260200,Raw,721686.0,direct,-14.235004,-51.92528,41.87194,12.56738
Manganese,BRA,UKR,Brazil,Ukraine,260200,Raw,361851.58,mirror,-14.235004,-51.92528,48.379433,31.16558
Manganese,BRA,BEL,Brazil,Belgium,260200,Raw,352320.955,mirror,-14.235004,-51.92528,50.503887,4.469936
Manganese,BRA,DNK,Brazil,Denmark,260200,Raw,345834.42,mirror,-14.235004,-51.92528,56.26392,9.501785
Manganese,BRA,GBR,Brazil,United Kingdom,260200,Raw,274710.0,direct,-14.235004,-51.92528,55.378051,-3.435973
Manganese,BRA,USA,Brazil,USA,260200,Raw,223810.0,direct,-14.235004,-51.92528,37.09024,-95.712891
Manganese,BRA,NOR,Brazil,Norway,260200,Raw,213307.595,mirror,-14.235004,-51.92528,60.472024,8.468946
Manganese,BRA,VNM,Brazil,Viet Nam,260200,Raw,170974.0,direct,-14.235004,-51.92528,14.058324,108.277199
Manganese,BRA,SWE,Brazil,Sweden,260200,Raw,166546.212,mirror,-14.235004,-51.92528,60.128161,18.643501
Manganese,BRA,MEX,Brazil,Mexico,260200,Raw,66448.0,direct,-14.235004,-51.92528,23.634501,-102.552784
Manganese,BRA,JPN,Brazil,Japan,260200,Raw,64743.602,mirror,-14.235004,-51.92528,36.204824,138.252924
Manganese,BRA,NLD,Brazil,Netherlands,260200,Raw,56236.0,direct,-14.235004,-51.92528,52.132633,5.291266
Manganese,BRA,CHL,Brazil,Chile,260200,Raw,47024.0,direct,-14.235004,-51.92528,-35.675147,-71.542969
Manganese,BRA,SRB,Brazil,Serbia,260200,Raw,42816.0,mirror,-14.235004,-51.92528,44.016521,21.005859
Manganese,BRA,SVN,Brazil,Slovenia,260200,Raw,27843.744,mirror,-14.235004,-51.92528,46.151241,14.995463
Manganese,BRA,BIH,Brazil,Bosnia Herzegovina,260200,Raw,18577.768,mirror,-14.235004,-51.92528,43.915886,17.679076
Manganese,BRA,EST,Brazil,Estonia,260200,Raw,9761.2,mirror,-14.235004,-51.92528,58.595272,25.013607
Manganese,BRA,BOL,Brazil,Bolivia (Plurinational State of),260200,Raw,6314.0,mirror,-14.235004,-51.92528,-16.290154,-63.588653
Manganese,BRA,LTU,Brazil,Lithuania,260200,Raw,2748.0,mirror,-14.235004,-51.92528,55.169438,23.881275
Manganese,BRA,AUT,Brazil,Austria,260200,Raw,508.719,mirror,-14.235004,-51.92528,47.516231,14.550072
Manganese,BRA,CAN,Brazil,Canada,260200,Raw,182.0,direct,-14.235004,-51.92528,56.130366,-106.346771
Manganese,BRA,PER,Brazil,Peru,260200,Raw,100.0,direct,-14.235004,-51.92528,-9.189967,-75.015152
Manganese,BRA,KOR,Brazil,Rep. of Korea,260200,Raw,86.0,mirror,-14.235004,-51.92528,35.907757,127.766922
Manganese,BRA,ZAF,Brazil,South Africa,260200,Raw,40.592,mirror,-14.235004,-51.92528,-30.559482,22.937506
Manganese,BFA,ARE,Burkina Faso,United Arab Emirates,260200,Raw,131937.6,direct,12.364566,-1.561593,23.424076,53.847818
Manganese,BFA,TGO,Burkina Faso,Togo,260200,Raw,74693.174,direct,12.364566,-1.561593,8.619543,0.824782
Manganese,KHM,CHN,Cambodia,China,260200,Raw,2800863.1,direct,12.565679,104.990963,35.86166,104.195397
Manganese,CMR,ZAF,Cameroon,South Africa,260200,Raw,1188.74,mirror,3.848033,11.502075,-30.559482,22.937506
Manganese,CAN,JPN,Canada,Japan,260200,Raw,389406.34,mirror,56.130366,-106.346771,36.204824,138.252924
Manganese,CAN,CHN,Canada,China,260200,Raw,268010.216,direct,56.130366,-106.346771,35.86166,104.195397
Manganese,CAN,FRA,Canada,France,260200,Raw,96981.288,mirror,56.130366,-106.346771,46.227638,2.213749
Manganese,CAN,USA,Canada,USA,260200,Raw,83785.992,direct,56.130366,-106.346771,37.09024,-95.712891
Manganese,CAN,NLD,Canada,Netherlands,260200,Raw,99.579,mirror,56.130366,-106.346771,52.132633,5.291266
Manganese,CHN,VNM,China,Viet Nam,260200,Raw,17492274.0,direct,35.86166,104.195397,14.058324,108.277199
Manganese,CHN,JPN,China,Japan,260200,Raw,12028234.0,direct,35.86166,104.195397,36.204824,138.252924
Manganese,CHN,IDN,China,Indonesia,260200,Raw,11543561.0,direct,35.86166,104.195397,-0.789275,113.921327
Manganese,CHN,MYS,China,Malaysia,260200,Raw,10658111.0,direct,35.86166,104.195397,4.210484,101.975766
Manganese,CHN,RUS,China,Russian Federation,260200,Raw,9854451.0,direct,35.86166,104.195397,61.52401,105.318756
Manganese,CHN,KOR,China,Rep. of Korea,260200,Raw,5617038.0,direct,35.86166,104.195397,35.907757,127.766922
Manganese,CHN,GBR,China,United Kingdom,260200,Raw,4000542.884,mirror,35.86166,104.195397,55.378051,-3.435973
Manganese,CHN,AGO,China,Angola,260200,Raw,1356000.0,mirror,35.86166,104.195397,-11.202692,17.873887
Manganese,CHN,CRI,China,Costa Rica,260200,Raw,534056.0,direct,35.86166,104.195397,9.748917,-83.753428
Manganese,CHN,BRA,China,Brazil,260200,Raw,407175.0,direct,35.86166,104.195397,-14.235004,-51.92528
Manganese,CHN,ECU,China,Ecuador,260200,Raw,296233.36,mirror,35.86166,104.195397,-1.831239,-78.183406
Manganese,CHN,KEN,China,Kenya,260200,Raw,256600.0,direct,35.86166,104.195397,-0.023559,37.906193
Manganese,CHN,THA,China,Thailand,260200,Raw,194519.0,direct,35.86166,104.195397,15.870032,100.992541
Manganese,CHN,UZB,China,Uzbekistan,260200,Raw,164947.0,direct,35.86166,104.195397,41.377491,64.585262
Manganese,CHN,IND,China,India,260200,Raw,143368.518,mirror,35.86166,104.195397,20.593684,78.96288
Manganese,CHN,BGD,China,Bangladesh,260200,Raw,95443.0,direct,35.86166,104.195397,23.684994,90.356331
Manganese,CHN,TJK,China,Tajikistan,260200,Raw,94073.0,direct,35.86166,104.195397,38.861034,71.276093
Manganese,CHN,BLR,China,Belarus,260200,Raw,90259.0,direct,35.86166,104.195397,53.709807,27.953389
Manganese,CHN,BWA,China,Botswana,260200,Raw,75970.0,direct,35.86166,104.195397,-22.328474,24.684866
Manganese,CHN,CAN,China,Canada,260200,Raw,68860.484,mirror,35.86166,104.195397,56.130366,-106.346771
Manganese,CHN,SGP,China,Singapore,260200,Raw,42651.982,mirror,35.86166,104.195397,1.352083,103.819836
Manganese,CHN,PRK,China,Dem. People's Rep. of Korea,260200,Raw,18200.0,direct,35.86166,104.195397,40.339852,127.510093
Manganese,CHN,CIV,China,Côte d'Ivoire,260200,Raw,18063.927,mirror,35.86166,104.195397,7.539989,-5.54708
Manganese,CHN,SAU,China,Saudi Arabia,260200,Raw,8550.133,mirror,35.86166,104.195397,23.885942,45.079162
Manganese,CHN,KHM,China,Cambodia,260200,Raw,8100.0,mirror,35.86166,104.195397,12.565679,104.990963
Manganese,CHN,AUS,China,Australia,260200,Raw,7237.0,direct,35.86166,104.195397,-25.274398,133.775136
Manganese,CHN,ESP,China,Spain,260200,Raw,7133.768,mirror,35.86166,104.195397,40.463667,-3.74922
Manganese,CHN,ZMB,China,Zambia,260200,Raw,5767.385,mirror,35.86166,104.195397,-13.133897,27.849332
Manganese,CHN,VEN,China,Venezuela,260200,Raw,4895.0,direct,35.86166,104.195397,6.42375,-66.58973
Manganese,CHN,MDG,China,Madagascar,260200,Raw,4550.0,direct,35.86166,104.195397,-18.766947,46.869107
Manganese,CHN,ARG,China,Argentina,260200,Raw,3812.7,mirror,35.86166,104.195397,-38.416097,-63.616672
Manganese,CHN,BEL,China,Belgium,260200,Raw,3362.664,mirror,35.86166,104.195397,50.503887,4.469936
Manganese,CHN,MEX,China,Mexico,260200,Raw,3313.0,direct,35.86166,104.195397,23.634501,-102.552784
Manganese,CHN,DZA,China,Algeria,260200,Raw,3197.0,direct,35.86166,104.195397,28.033886,1.659626
Manganese,CHN,TZA,China,United Rep. of Tanzania,260200,Raw,2918.0,direct,35.86166,104.195397,-6.369028,34.888822
Manganese,CHN,MNG,China,Mongolia,260200,Raw,2796.0,direct,35.86166,104.195397,46.862496,103.846656
Manganese,CHN,PHL,China,Philippines,260200,Raw,2340.0,direct,35.86166,104.195397,12.879721,121.774017
Manganese,CHN,KAZ,China,Kazakhstan,260200,Raw,1400.0,direct,35.86166,104.195397,48.019573,66.923684
Manganese,CHN,MMR,China,Myanmar,260200,Raw,1307.0,direct,35.86166,104.195397,21.913965,95.956223
Manganese,CHN,ZWE,China,Zimbabwe,260200,Raw,1034.84,mirror,35.86166,104.195397,-19.015438,29.154857
Manganese,CHN,GHA,China,Ghana,260200,Raw,752.0,direct,35.86166,104.195397,7.946527,-1.023194
Manganese,CHN,JOR,China,Jordan,260200,Raw,360.0,direct,35.86166,104.195397,30.585164,36.238414
Manganese,CHN,PER,China,Peru,260200,Raw,276.644,mirror,35.86166,104.195397,-9.189967,-75.015152
Manganese,CHN,HND,China,Honduras,260200,Raw,243.89,mirror,35.86166,104.195397,15.199999,-86.241905
Manganese,CHN,CHE,China,Switzerland,260200,Raw,145.38,mirror,35.86166,104.195397,46.818188,8.227512
Manganese,CHN,POL,China,Poland,260200,Raw,58.0,direct,35.86166,104.195397,51.919438,19.145136
