Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Nickel,ALB,NLD,Albania,Netherlands,260400,Raw,21.648,mirror,41.153332,20.168331,52.132633,5.291266
Nickel,_X ,FRA,"Areas, nes",France,260400,Raw,1069.392,mirror,,,46.227638,2.213749
Nickel,_X ,DNK,"Areas, nes",Denmark,260400,Raw,152.441,mirror,,,56.26392,9.501785
Nickel,AUS,CHN,Australia,China,260400,Raw,124861922.4,direct,-25.274398,133.775136,35.86166,104.195397
Nickel,AUS,S19,Australia,"Other Asia, nes",260400,Raw,113615405.4,direct,-25.274398,133.775136,,
Nickel,AUS,MYS,Australia,Malaysia,260400,Raw,49719465.73,mirror,-25.274398,133.775136,4.210484,101.975766
Nickel,AUS,NOR,Australia,Norway,260400,Raw,1427060.762,direct,-25.274398,133.775136,60.472024,8.468946
Nickel,AUS,FIN,Australia,Finland,260400,Raw,227040.98,mirror,-25.274398,133.775136,61.92411,25.748151
Nickel,AUS,IDN,Australia,Indonesia,260400,Raw,30580,mirror,-25.274398,133.775136,-0.789275,113.921327
Nickel,AUS,SRB,Australia,Serbia,260400,Raw,13080,mirror,-25.274398,133.775136,44.016521,21.005859
Nickel,AUS,CAN,Australia,Canada,260400,Raw,1721.09,mirror,-25.274398,133.775136,56.130366,-106.346771
Nickel,AUT,USA,Austria,USA,260400,Raw,6102.461,direct,47.516231,14.550072,37.09024,-95.712891
Nickel,AUT,ZAF,Austria,South Africa,260400,Raw,10.824,direct,47.516231,14.550072,-30.559482,22.937506
Nickel,BEL,CAN,Belgium,Canada,260400,Raw,23452909.35,direct,50.503887,4.469936,56.130366,-106.346771
Nickel,BEL,NLD,Belgium,Netherlands,260400,Raw,1720850.716,mirror,50.503887,4.469936,52.132633,5.291266
Nickel,BEL,PHL,Belgium,Philippines,260400,Raw,230892.913,direct,50.503887,4.469936,12.879721,121.774017
Nickel,BEL,BRA,Belgium,Brazil,260400,Raw,4.33,direct,50.503887,4.469936,-14.235004,-51.92528
Nickel,BEL,GBR,Belgium,United Kingdom,260400,Raw,4.33,direct,50.503887,4.469936,55.378051,-3.435973
Nickel,BWA,NAM,Botswana,Namibia,260400,Raw,4648460.156,mirror,-22.328474,24.684866,-22.95764,18.49041
Nickel,BWA,CAN,Botswana,Canada,260400,Raw,56161.107,mirror,-22.328474,24.684866,56.130366,-106.346771
Nickel,BRA,CHN,Brazil,China,260400,Raw,251680608,direct,-14.235004,-51.92528,35.86166,104.195397
Nickel,BRA,FIN,Brazil,Finland,260400,Raw,141028168,direct,-14.235004,-51.92528,61.92411,25.748151
Nickel,BRA,CAN,Brazil,Canada,260400,Raw,70326574,direct,-14.235004,-51.92528,56.130366,-106.346771
Nickel,BRA,DEU,Brazil,Germany,260400,Raw,54660,direct,-14.235004,-51.92528,51.165691,10.451526
Nickel,BRA,SGP,Brazil,Singapore,260400,Raw,26196,direct,-14.235004,-51.92528,1.352083,103.819836
Nickel,BRA,PER,Brazil,Peru,260400,Raw,18170,direct,-14.235004,-51.92528,-9.189967,-75.015152
Nickel,BRA,PHL,Brazil,Philippines,260400,Raw,8210,direct,-14.235004,-51.92528,12.879721,121.774017
Nickel,BRA,GBR,Brazil,United Kingdom,260400,Raw,2356,direct,-14.235004,-51.92528,55.378051,-3.435973
Nickel,BRA,IDN,Brazil,Indonesia,260400,Raw,2250,direct,-14.235004,-51.92528,-0.789275,113.921327
Nickel,BRA,BOL,Brazil,Bolivia (Plurinational State of),260400,Raw,316,direct,-14.235004,-51.92528,-16.290154,-63.588653
Nickel,BRA,USA,Brazil,USA,260400,Raw,218,direct,-14.235004,-51.92528,37.09024,-95.712891
Nickel,BRA,AUS,Brazil,Australia,260400,Raw,212,direct,-14.235004,-51.92528,-25.274398,133.775136
Nickel,BRA,IRL,Brazil,Ireland,260400,Raw,62,direct,-14.235004,-51.92528,53.41291,-8.24389
Nickel,BRA,CHL,Brazil,Chile,260400,Raw,20,direct,-14.235004,-51.92528,-35.675147,-71.542969
