Country,Stage,Category,source,Production(kg)_2024,Import(kg)_2024,Export(kg)_2024,Consumption(kg)_2024
Afghanistan,processed,Fluorspar,BGS,4000000.0,0.0,0.0,4000000.0
Afghanistan,raw,Chromium,WMD,10100000.0,0.0,0.0,10100000.0
Afghanistan,raw,Fluorspar,WMD,37256000.0,0.0,0.0,37256000.0
Albania,processed,Aluminium,,0.0,204070210.248,179051046.32,25019163.928000003
Albania,processed,Bauxite,,0.0,843080.0,0.0,843080.0
Albania,processed,Lead,BGS,3000000.0,165784.0,0.0,3165784.0
Albania,processed,Silicon,,0.0,7106531.488,0.0,7106531.488
Albania,processed,Silver,,0.0,16197.6,0.0,16197.6
Albania,processed,Tin,,0.0,23874.48,0.0,23874.48
Albania,processed,Zinc,,0.0,8726951.6,0.0,8726951.6
Albania,raw,Lithium,,0.0,529299.2,0.0,529299.2
Albania,raw,Nickel,WMD,570000.0,0.0,0.0,570000.0
Algeria,processed,Lead,BGS,9000000.0,0.0,0.0,9000000.0
Algeria,processed,Zinc,BGS,964000.0,0.0,0.0,964000.0
Algeria,raw,Gold,WMD,147.0,0.0,0.0,147.0
Algeria,raw,Silver,WMD,20.0,0.0,0.0,20.0
Algeria,raw,Zinc,WMD,240000.0,0.0,0.0,240000.0
Angola,processed,Aluminium,,0.0,16850540.46,8863685.0,7986855.460000001
Angola,processed,Bauxite,,0.0,6207352.95,3125.0,6204227.95
Angola,processed,Boron,,0.0,157550.07,0.0,157550.07
Angola,processed,Chromium,,0.0,1653.0,0.0,1653.0
Angola,processed,Gold,,0.0,1.0,0.0,1.0
Angola,processed,Lithium,,0.0,95469.6,0.0,95469.6
Angola,processed,Magnesium,,0.0,148969.5,0.0,148969.5
Angola,processed,Manganese,,0.0,22620.0,0.0,22620.0
Angola,processed,Molybdenum,,0.0,10684.93,0.0,10684.93
Angola,processed,Nickel,,0.0,88002.57,225.0,87777.57
Angola,processed,Platinum Group Metals,,0.0,181.59,9.0,172.59
Angola,processed,Silicon,,0.0,16631731.03,6922422.86,9709308.169999998
Angola,processed,Silver,,0.0,1008.99,0.0,1008.99
Angola,processed,Tin,,0.0,96730.94,4.0,96726.94
Angola,processed,Titanium,,0.0,482690.23,0.0,482690.23
Angola,raw,Aluminium,,0.0,4152999.0,0.0,4152999.0
Angola,raw,Bauxite,,0.0,4152999.0,0.0,4152999.0
Angola,raw,Boron,,0.0,472637.0,0.0,472637.0
Angola,raw,Chromium,,0.0,149909.0,0.0,149909.0
Angola,raw,Copper,,0.0,2674.95,25.0,2649.95
Angola,raw,Fluorspar,,0.0,29942.4,0.0,29942.4
Angola,raw,Graphite,,0.0,96949.67,0.0,96949.67
Angola,raw,Lithium,,0.0,398671.9,1299.0,397372.9
Angola,raw,Magnesium,,0.0,1495.76,0.0,1495.76
Angola,raw,Manganese,WMD,2300000.0,45144910.0,1188000.0,46256910.0
Angola,raw,Niobium,,0.0,9878.0,0.0,9878.0
